country,advisory,passport,visas,link,updated
Afghanistan,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave from Afghanistan.,You must obtain a visa to visit Afghanistan.,https://travel.gc.ca/destinations/afghanistan,2020-07-15 14:45:38
Albania,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from Albania.,"Tourist visa: not required for stays up to 90 days per six-month period
Business visa: not required for stays up to 90 days per six-month period
Student visa: not required for stays up to 90 days per six-month period",https://travel.gc.ca/destinations/albania,2020-07-15 14:45:38
Algeria,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave from Algeria.,Canadians must be in possession of a visa to visit Algeria.,https://travel.gc.ca/destinations/algeria,2020-07-15 14:45:38
American Samoa,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave American Samoa.,Canadians can visit American Samoa without an entry permit or visa for a period of up to 30 days.,https://travel.gc.ca/destinations/american-samoa,2020-07-15 14:45:38
Andorra,Take normal security precautions,Your passport must be valid for the period of intended stay in Andorra. Ensure your passport and other travel documents are also valid for entry and re-entry into the country through which you wish to transit.,"Tourist visa: not required
Business visa: not required
Student visa: not required for stays up to 90 days",https://travel.gc.ca/destinations/andorra,2020-07-15 14:45:38
Angola,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Angola.,You must be in possession of a visa and an onward or return ticket to enter Angola.,https://travel.gc.ca/destinations/angola,2020-07-15 14:45:38
Anguilla,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Anguilla.,"Tourist visa: not required
Business visa: not required
Student visa: not required",https://travel.gc.ca/destinations/anguilla,2020-07-15 14:45:38
Antarctica,Take normal security precautions,,,https://travel.gc.ca/destinations/antarctica,2020-05-21 14:08:36
Antigua and Barbuda,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Antigua and Barbuda.,"Tourist visa: not required
Business visa: not required
Student permit: required",https://travel.gc.ca/destinations/antigua-and-barbuda,2020-07-15 14:45:38
Argentina,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Argentina.,"Tourist visa: Not required
Business visa: Not required 
Student visa: Required",https://travel.gc.ca/destinations/argentina,2020-07-15 14:45:38
Armenia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave from Armenia.,Canadians must have a visa to visit Armenia.,https://travel.gc.ca/destinations/armenia,2020-07-15 14:45:38
Aruba,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Aruba.,"Tourist visa: not required (for stays of up to 30 days)
Business visa: not required
Work permit: required
Student visa: required",https://travel.gc.ca/destinations/aruba,2020-07-15 14:45:38
